"ensembl_id","gene_symbol","logFC_discovery","adj.P.Val_discovery","logFC_validation","adj.P.Val_validation","direction","hspc_mean_expr","hspc_status"
"ENSG00000142405","NLRP12",-1.91856975794163,6.56462139385858e-32,-0.166889898587633,1.38688597006568e-25,"Down",NA,"Not-evaluated"
"ENSG00000070540","WIPI1",-1.90711592044047,1.78675337815444e-113,-0.163922321837438,2.19657914543538e-41,"Down",6.57298709677419,"HSPC-low"
"ENSG00000156575","PRG3",-1.89216602260639,8.12664448603186e-18,-0.302095655640506,2.45000182040188e-30,"Down",5.21005161290323,"HSPC-low"
"ENSG00000109272","PF4V1",-1.88489517247541,1.3652883975842e-64,-0.213017497097136,3.8047187591559e-44,"Down",5.58010967741935,"HSPC-low"
"ENSG00000188906","LRRK2",-1.86538234771936,2.34756738975096e-36,-0.20278755418551,2.000549560363e-21,"Down",NA,"Not-evaluated"
"ENSG00000152766","ANKRD22",-1.86238651782357,2.28481495485434e-39,-0.180659293212839,1.457978380832e-44,"Down",NA,"Not-evaluated"
"ENSG00000113088","GZMK",-1.8586413970699,1.87359227662139e-41,-0.166977030745699,3.84211101518447e-21,"Down",6.00831612903226,"HSPC-low"
"ENSG00000119919","NKX2-3",1.83789141669924,1.07405044940524e-89,0.179565619642584,1.03257107958909e-08,"Up",NA,"Not-evaluated"
"ENSG00000177508","IRX3",1.80278677430212,9.30974544636832e-89,0.184185280409115,2.43508066980288e-11,"Up",NA,"Not-evaluated"
"ENSG00000163739","CXCL1",-1.72578732829171,3.96892775732795e-57,-0.19680663319573,3.7638165640752e-25,"Down",5.58031290322581,"HSPC-low"
"ENSG00000130821","SLC6A8",-1.67893665179982,5.43340451518113e-79,-0.155974714229565,7.88926592126631e-15,"Down",5.70280752688172,"HSPC-low"
"ENSG00000086548","CEACAM6",-1.63660202094082,9.10489570894517e-22,-0.340966256982227,2.78590112556299e-31,"Down",5.93652096774194,"HSPC-low"
"ENSG00000172005","MAL",-1.55272231892006,1.61769254804994e-46,-0.189426224191312,7.23723380449702e-31,"Down",6.01833870967742,"HSPC-low"
